Name ,Link,Party,Acct
"Escobar, Veronica",https://twitter.com/RepEscobar,D,RepEscobar
"Eshoo, Anna G.",https://twitter.com/RepAnnaEshoo,D,RepAnnaEshoo
"Espaillat, Adriano",https://twitter.com/RepEspaillat,D,RepEspaillat
"Evans, Dwight",https://twitter.com/RepDwightEvans,D,RepDwightEvans
"Fletcher, Lizzie",https://twitter.com/RepFletcher,D,RepFletcher
"Foster, Bill",https://twitter.com/RepBillFoster,D,RepBillFoster
"Frankel, Lois",https://twitter.com/RepLoisFrankel,D,RepLoisFrankel
"Gallego, Ruben",https://twitter.com/RepRubenGallego,D,RepRubenGallego
"Garamendi, John",https://twitter.com/RepGaramendi,D,RepGaramendi
"García, Jesús ""Chuy""",https://twitter.com/RepChuyGarcia,D,RepChuyGarcia
"Garcia, Sylvia",https://twitter.com/RepSylviaGarcia,D,RepSylviaGarcia
"Golden, Jared",https://twitter.com/RepGolden,D,RepGolden
"Gomez, Jimmy",https://twitter.com/RepJimmyGomez,D,RepJimmyGomez
"Gonzalez, Vicente",https://twitter.com/RepGonzalez,D,RepGonzalez
"Gottheimer, Josh",https://twitter.com/RepJoshG,D,RepJoshG
"Green, Al",https://twitter.com/RepAlGreen,D,RepAlGreen
"Grijalva, Raul",https://twitter.com/RepRaulGrijalva,D,RepRaulGrijalva
"Harder, Josh",https://twitter.com/RepJoshHarder,D,RepJoshHarder
"Hastings, Alcee L.",https://twitter.com/RepHastingsFL,D,RepHastingsFL
"Hayes, Jahana",https://twitter.com/RepJahanaHayes,D,RepJahanaHayes
"Higgins, Brian",https://twitter.com/RepBrianHiggins,D,RepBrianHiggins
"Himes, Jim",https://twitter.com/jahimes,D,jahimes
"Horsford, Steven",https://twitter.com/RepHorsford,D,RepHorsford
"Houlahan, Chrissy",https://twitter.com/RepHoulahan,D,RepHoulahan
"Hoyer, Steny H.",https://twitter.com/LeaderHoyer,D,LeaderHoyer
"Huffman, Jared",https://twitter.com/RepHuffman,D,RepHuffman
"Jackson Lee, Sheila",https://twitter.com/JacksonLeeTX18,D,JacksonLeeTX18
"Jacobs, Sara",https://twitter.com/RepSaraJacobs,D,RepSaraJacobs
"Jayapal, Pramila",https://twitter.com/RepJayapal,D,RepJayapal
"Jeffries, Hakeem",https://twitter.com/RepJeffries,D,RepJeffries
"Johnson, Eddie Bernice",https://twitter.com/RepEBJ,D,RepEBJ
"Johnson, Henry C. ""Hank"" Jr.",https://twitter.com/RepHankJohnson,D,RepHankJohnson
"Jones, Mondaire",https://twitter.com/RepMondaire,D,RepMondaire
"Kahele, Kaiali'i",https://twitter.com/KaheleRep,D,KaheleRep
"Kaptur, Marcy",https://twitter.com/RepMarcyKaptur,D,RepMarcyKaptur
"Keating, William",https://twitter.com/USRepKeating,D,USRepKeating
"Kelly, Robin",https://twitter.com/RepRobinKelly,D,RepRobinKelly
"Khanna, Ro",https://twitter.com/RepRoKhanna,D,RepRoKhanna
"Kildee, Dan",https://twitter.com/RepDanKildee,D,RepDanKildee
"Kilmer, Derek",https://twitter.com/RepDerekKilmer,D,RepDerekKilmer
"Kim, Andy",https://twitter.com/RepAndyKimNJ,D,RepAndyKimNJ
"Kind, Ron",https://twitter.com/RepRonKind,D,RepRonKind
"Kirkpatrick, Ann",https://twitter.com/RepKirkpatrick,D,RepKirkpatrick
"Krishnamoorthi, Raja",https://twitter.com/CongressmanRaja,D,CongressmanRaja
"Kuster, Ann",https://twitter.com/RepAnnieKuster,D,RepAnnieKuster
"Lamb, Conor",https://twitter.com/RepConorLamb,D,RepConorLamb
"Langevin, Jim",https://twitter.com/JimLangevin,D,JimLangevin
"Larsen, Rick",https://twitter.com/RepRickLarsen,D,RepRickLarsen
"Larson, John B.",https://twitter.com/RepJohnLarson,D,RepJohnLarson
"Lawrence, Brenda",https://twitter.com/RepLawrence,D,RepLawrence
"Lawson, Al",https://twitter.com/RepAlLawsonJr,D,RepAlLawsonJr
"Lee, Barbara",https://twitter.com/RepBarbaraLee,D,RepBarbaraLee
"Lee, Susie",https://twitter.com/RepSusieLee,D,RepSusieLee
"Leger Fernandez, Teresa",https://twitter.com/RepTeresaLF,D,RepTeresaLF
"Levin, Andy",https://twitter.com/RepAndyLevin,D,RepAndyLevin
"Levin, Mike",https://twitter.com/RepMikeLevin,D,RepMikeLevin
"Lieu, Ted",https://twitter.com/RepTedLieu,D,RepTedLieu
"Lofgren, Zoe",https://twitter.com/RepZoeLofgren,D,RepZoeLofgren
"Lowenthal, Alan",https://twitter.com/RepLowenthal,D,RepLowenthal
"Luria, Elaine",https://twitter.com/RepElaineLuria,D,RepElaineLuria
"Lynch, Stephen F.",https://twitter.com/RepStephenLynch,D,RepStephenLynch
"Malinowski, Tom",https://twitter.com/RepMalinowski,D,RepMalinowski
"Maloney, Carolyn",https://twitter.com/RepMaloney,D,RepMaloney
"Maloney, Sean Patrick",https://twitter.com/RepSeanMaloney,D,RepSeanMaloney
"Manning, Kathy E.",https://twitter.com/RepKManning,D,RepKManning
"Matsui, Doris O.",https://twitter.com/DorisMatsui,D,DorisMatsui
"McBath, Lucy",https://twitter.com/RepLucyMcBath,D,RepLucyMcBath
"McCollum, Betty",https://twitter.com/BettyMcCollum04,D,BettyMcCollum04
"McEachin, A. Donald",https://twitter.com/RepMcEachin,D,RepMcEachin
"McGovern, James",https://twitter.com/RepMcGovern,D,RepMcGovern
"McNerney, Jerry",https://twitter.com/RepMcNerney,D,RepMcNerney
"Meeks, Gregory W.",https://twitter.com/RepGregoryMeeks,D,RepGregoryMeeks
"Meng, Grace",https://twitter.com/RepGraceMeng,D,RepGraceMeng
"Mfume, Kweisi",https://twitter.com/RepKweisiMfume,D,RepKweisiMfume
"Moore, Gwen",https://twitter.com/RepGwenMoore,D,RepGwenMoore
"Morelle, Joe",https://twitter.com/RepJoeMorelle,D,RepJoeMorelle
"Moulton, Seth",https://twitter.com/teammoulton,D,teammoulton
"Mrvan, Frank J.",https://twitter.com/RepMrvan,D,RepMrvan
"Murphy, Stephanie",https://twitter.com/RepStephMurphy,D,RepStephMurphy
"Nadler, Jerrold",https://twitter.com/RepJerryNadler,D,RepJerryNadler
"Napolitano, Grace",https://twitter.com/gracenapolitano,D,gracenapolitano
"Neal, Richard E.",https://twitter.com/RepRichardNeal,D,RepRichardNeal
"Neguse, Joe",https://twitter.com/RepJoeNeguse,D,RepJoeNeguse
"Newman, Marie",https://twitter.com/RepMarieNewman,D,RepMarieNewman
"Norcross, Donald",https://twitter.com/DonaldNorcross,D,DonaldNorcross
"Norton, Eleanor Holmes",https://twitter.com/EleanorNorton,D,EleanorNorton
"O'Halleran, Tom",https://twitter.com/RepOHalleran,D,RepOHalleran
"Ocasio-Cortez, Alexandria",https://twitter.com/RepAOC,D,RepAOC
"Omar, Ilhan",https://twitter.com/Ilhan,D,Ilhan
"Pallone Jr., Frank",https://twitter.com/FrankPallone,D,FrankPallone
"Panetta, Jimmy",https://twitter.com/RepJimmyPanetta,D,RepJimmyPanetta
"Pappas, Chris",https://twitter.com/RepChrisPappas,D,RepChrisPappas
"Pascrell Jr., Bill",https://twitter.com/BillPascrell,D,BillPascrell
"Payne Jr., Donald",https://twitter.com/RepDonaldPayne,D,RepDonaldPayne
"Pelosi, Nancy",https://twitter.com/SpeakerPelosi,D,SpeakerPelosi
"Perlmutter, Ed",https://twitter.com/RepPerlmutter,D,RepPerlmutter
"Peters, Scott",https://twitter.com/RepScottPeters,D,RepScottPeters
"Phillips, Dean",https://twitter.com/RepDeanPhillips,D,RepDeanPhillips
"Pingree, Chellie",https://twitter.com/chelliepingree,D,chelliepingree
"Plaskett, Stacey",https://twitter.com/StaceyPlaskett,D,StaceyPlaskett
"Pocan, Mark",https://twitter.com/repmarkpocan,D,repmarkpocan
"Porter, Katie",https://twitter.com/RepKatiePorter,D,RepKatiePorter
"Pressley, Ayanna",https://twitter.com/RepPressley,D,RepPressley
"Price, David",https://twitter.com/RepDavidEPrice,D,RepDavidEPrice
"Quigley, Mike",https://twitter.com/RepMikeQuigley,D,RepMikeQuigley
"Raskin, Jamie",https://twitter.com/RepRaskin,D,RepRaskin
"Rice, Kathleen",https://twitter.com/RepKathleenRice,D,RepKathleenRice
"Ross, Deborah K.",https://twitter.com/RepDeborahRoss,D,RepDeborahRoss
"Roybal-Allard, Lucille",https://twitter.com/RepRoybalAllard,D,RepRoybalAllard
"Ruiz, Raul",https://twitter.com/RepRaulRuizMD,D,RepRaulRuizMD
"Ruppersberger, C. A. Dutch",https://twitter.com/Call_Me_Dutch,D,Call_Me_Dutch
"Rush, Bobby L.",https://twitter.com/RepBobbyRush,D,RepBobbyRush
"Ryan, Tim",https://twitter.com/RepTimRyan,D,RepTimRyan
"Sablan, Gregorio",https://twitter.com/Kilili_Sablan,D,Kilili_Sablan
"San Nicolas, Michael F. Q.",https://twitter.com/GuamCongressman,D,GuamCongressman
"Sánchez, Linda",https://twitter.com/RepLindaSanchez,D,RepLindaSanchez
"Sarbanes, John P.",https://twitter.com/RepSarbanes,D,RepSarbanes
"Scanlon, Mary Gay",https://twitter.com/RepMGS,D,RepMGS
"Schakowsky, Jan",https://twitter.com/janschakowsky,D,janschakowsky
"Schiff, Adam",https://twitter.com/RepAdamSchiff,D,RepAdamSchiff
"Schneider, Bradley",https://twitter.com/RepSchneider,D,RepSchneider
"Schrader, Kurt",https://twitter.com/RepSchrader,D,RepSchrader
"Schrier, Kim",https://twitter.com/RepKimSchrier,D,RepKimSchrier
"Scott, David",https://twitter.com/repdavidscott,D,repdavidscott
"Scott, Robert C.",https://twitter.com/BobbyScott,D,BobbyScott
"Sewell, Terri A.",https://twitter.com/RepTerriSewell,D,RepTerriSewell
"Sherman, Brad",https://twitter.com/BradSherman,D,BradSherman
"Sherrill, Mikie",https://twitter.com/RepSherrill,D,RepSherrill
"Sires, Albio",https://twitter.com/RepSires,D,RepSires
"Slotkin, Elissa",https://twitter.com/RepSlotkin,D,RepSlotkin
"Smith, Adam",https://twitter.com/RepAdamSmith,D,RepAdamSmith
"Soto, Darren",https://twitter.com/RepDarrenSoto,D,RepDarrenSoto
"Spanberger, Abigail",https://twitter.com/RepSpanberger,D,RepSpanberger
"Speier, Jackie",https://twitter.com/RepSpeier,D,RepSpeier
"Stansbury, Melanie ",https://twitter.com/Rep_Stansbury,D,Rep_Stansbury
"Stanton, Greg",https://twitter.com/RepGregStanton,D,RepGregStanton
"Stevens, Haley",https://twitter.com/RepHaleyStevens,D,RepHaleyStevens
"Strickland, Marilyn",https://twitter.com/RepStricklandWA,D,RepStricklandWA
"Suozzi, Thomas",https://twitter.com/RepTomSuozzi,D,RepTomSuozzi
"Swalwell, Eric",https://twitter.com/RepSwalwell,D,RepSwalwell
"Takano, Mark",https://twitter.com/RepMarkTakano,D,RepMarkTakano
"Thompson, Bennie G.",https://twitter.com/BennieGThompson,D,BennieGThompson
"Thompson, Mike",https://twitter.com/RepThompson,D,RepThompson
"Titus, Dina",https://twitter.com/repdinatitus,D,repdinatitus
"Tlaib, Rashida",https://twitter.com/RepRashida,D,RepRashida
"Tonko, Paul D.",https://twitter.com/RepPaulTonko,D,RepPaulTonko
"Torres, Norma",https://twitter.com/NormaJTorres,D,NormaJTorres
"Torres, Ritchie",https://twitter.com/RepRitchie,D,RepRitchie
"Trahan, Lori",https://twitter.com/RepLoriTrahan,D,RepLoriTrahan
"Trone, David",https://twitter.com/RepDavidTrone,D,RepDavidTrone
"Underwood, Lauren",https://twitter.com/RepUnderwood,D,RepUnderwood
"Vargas, Juan",https://twitter.com/RepJuanVargas,D,RepJuanVargas
"Vela, Filemon",https://twitter.com/RepFilemonVela,D,RepFilemonVela
"Velázquez, Nydia M.",https://twitter.com/NydiaVelazquez,D,NydiaVelazquez
"Waters, Maxine",https://twitter.com/RepMaxineWaters,D,RepMaxineWaters
"Watson Coleman, Bonnie",https://twitter.com/RepBonnie,D,RepBonnie
"Welch, Peter",https://twitter.com/PeterWelch,D,PeterWelch
"Wexton, Jennifer",https://twitter.com/RepWexton,D,RepWexton
"Wild, Susan",https://twitter.com/RepSusanWild,D,RepSusanWild
"Williams, Nikema",https://twitter.com/RepNikema,D,RepNikema
"Wilson, Frederica",https://twitter.com/RepWilson,D,RepWilson
"Yarmuth, John A.",https://twitter.com/RepJohnYarmuth,D,RepJohnYarmuth
