Name ,Link,Party,Acct
"Cloud, Michael",https://twitter.com/RepCloudTX,R,RepCloudTX
"Clyde, Andrew S.",https://twitter.com/Rep_Clyde (press office),R,Rep_Clyde (press office)
"Cole, Tom",https://twitter.com/TomColeOK04,R,TomColeOK04
"Comer, James",https://twitter.com/RepJamesComer,R,RepJamesComer
"Crawford, Rick",https://twitter.com/RepRickCrawford,R,RepRickCrawford
"Crenshaw, Dan",https://twitter.com/RepDanCrenshaw,R,RepDanCrenshaw
"Curtis, John R.",https://twitter.com/RepJohnCurtis,R,RepJohnCurtis
"Davidson, Warren",https://twitter.com/WarrenDavidson,R,WarrenDavidson
"Davis, Rodney",https://twitter.com/RodneyDavis,R,RodneyDavis
"DesJarlais, Scott",https://twitter.com/DesJarlaisTN04,R,DesJarlaisTN04
"Diaz-Balart, Mario",https://twitter.com/MarioDB,R,MarioDB
"Donalds, Byron",https://twitter.com/RepDonaldsPress,R,RepDonaldsPress
"Duncan, Jeff",https://twitter.com/RepJeffDuncan,R,RepJeffDuncan
"Dunn, Neal",https://twitter.com/DrNealDunnFL2,R,DrNealDunnFL2
"Ellzey, Jake",https://twitter.com/RepEllzey,R,RepEllzey
"Emmer, Tom",https://twitter.com/RepTomEmmer,R,RepTomEmmer
"Estes, Ron",https://twitter.com/RepRonEstes,R,RepRonEstes
"Fallon, Pat",https://twitter.com/RepPatFallon,R,RepPatFallon
"Feenstra, Randy",https://twitter.com/RepFeenstra,R,RepFeenstra
"Ferguson, A. Drew",https://twitter.com/RepDrewFerguson,R,RepDrewFerguson
"Fischbach, Michelle",https://twitter.com/RepFischbach,R,RepFischbach
"Fitzgerald, Scott",https://twitter.com/RepFitzgerald,R,RepFitzgerald
"Fitzpatrick, Brian",https://twitter.com/RepBrianFitz,R,RepBrianFitz
"Fleischmann, Chuck",https://twitter.com/RepChuck,R,RepChuck
"Fortenberry, Jeff",https://twitter.com/JeffFortenberry,R,JeffFortenberry
"Foxx, Virginia",https://twitter.com/virginiafoxx,R,virginiafoxx
"Franklin, C. Scott",https://twitter.com/RepFranklin,R,RepFranklin
"Fulcher, Russ",https://twitter.com/RepRussFulcher,R,RepRussFulcher
"Gaetz, Matt",https://twitter.com/RepMattGaetz,R,RepMattGaetz
"Gallagher, Mike",https://twitter.com/RepGallagher,R,RepGallagher
"Garbarino, Andrew R.",https://twitter.com/RepGarbarino,R,RepGarbarino
"Garcia, Mike",https://twitter.com/RepMikeGarcia,R,RepMikeGarcia
"Gibbs, Bob",https://twitter.com/RepBobGibbs,R,RepBobGibbs
"Gimenez, Carlos A.",https://twitter.com/RepCarlos,R,RepCarlos
"Gohmert, Louie",https://twitter.com/replouiegohmert,R,replouiegohmert
"Gonzales, Tony",https://twitter.com/RepTonyGonzales,R,RepTonyGonzales
"González-Cólón, Jenniffer",https://twitter.com/RepJenniffer,R,RepJenniffer
"Gonzalez, Anthony",https://twitter.com/RepAGonzalez,R,RepAGonzalez
"Good, Bob",https://twitter.com/RepBobGood,R,RepBobGood
"Gooden, Lance",https://twitter.com/Lancegooden,R,Lancegooden
"Gosar, Paul A.",https://twitter.com/RepGosar,R,RepGosar
"Granger, Kay",https://twitter.com/RepKayGranger,R,RepKayGranger
"Graves, Garret",https://twitter.com/RepGarretGraves,R,RepGarretGraves
"Graves, Sam",https://twitter.com/RepSamGraves,R,RepSamGraves
"Green, Mark",https://twitter.com/RepMarkGreen,R,RepMarkGreen
"Greene, Majorie Taylor",https://twitter.com/RepMTG,R,RepMTG
"Griffith, Morgan",https://twitter.com/RepMGriffith,R,RepMGriffith
"Grothman, Glenn",https://twitter.com/RepGrothman,R,RepGrothman
"Guest, Michael",https://twitter.com/RepMichaelGuest,R,RepMichaelGuest
"Guthrie, S. Brett",https://twitter.com/RepGuthrie,R,RepGuthrie
"Hagedorn, Jim",https://twitter.com/RepHagedorn,R,RepHagedorn
"Harris, Andy",https://twitter.com/RepAndyHarrisMD,R,RepAndyHarrisMD
"Harshbarger, Diana",https://twitter.com/RepHarshbarger,R,RepHarshbarger
"Hartzler, Vicky",https://twitter.com/RepHartzler,R,RepHartzler
"Hern, Kevin",https://twitter.com/repkevinhern,R,repkevinhern
"Herrell, Yvette",https://twitter.com/RepHerrell,R,RepHerrell
"Herrera Butler, Jaime",https://twitter.com/HerreraBeutler,R,HerreraBeutler
"Hice, Jody",https://twitter.com/CongressmanHice,R,CongressmanHice
"Higgins, Clay",https://twitter.com/RepClayHiggins,R,RepClayHiggins
"Hill, French",https://twitter.com/RepFrenchHill,R,RepFrenchHill
"Hinson, Ashley",https://twitter.com/RepAshleyHinson,R,RepAshleyHinson
"Hollingsworth, Trey",https://twitter.com/RepTrey,R,RepTrey
"Hudson, Richard",https://twitter.com/RepRichHudson,R,RepRichHudson
"Huizenga, Bill",https://twitter.com/RepHuizenga,R,RepHuizenga
"Issa, Darrell",https://twitter.com/repdarrellissa,R,repdarrellissa
"Jackson, Ronny",https://twitter.com/RepRonnyJackson,R,RepRonnyJackson
"Jacobs, Chris",https://twitter.com/RepJacobs,R,RepJacobs
"Johnson, Bill",https://twitter.com/RepBillJohnson,R,RepBillJohnson
"Johnson, Dusty",https://twitter.com/RepDustyJohnson,R,RepDustyJohnson
"Johnson, Mike",https://twitter.com/RepMikeJohnson,R,RepMikeJohnson
"Jordan, Jim",https://twitter.com/Jim_Jordan,R,Jim_Jordan
"Joyce, David",https://twitter.com/RepDaveJoyce,R,RepDaveJoyce
"Joyce, John",https://twitter.com/RepJohnJoyce,R,RepJohnJoyce
"Katko, John",https://twitter.com/RepJohnKatko,R,RepJohnKatko
"Keller, Fred",https://twitter.com/RepFredKeller,R,RepFredKeller
"Kelly, Mike",https://twitter.com/MikeKellyPA,R,MikeKellyPA
"Kelly, Trent",https://twitter.com/RepTrentKelly,R,RepTrentKelly
"Kim, Young",https://twitter.com/RepYoungKim,R,RepYoungKim
"Kinzinger, Adam",https://twitter.com/RepKinzinger,R,RepKinzinger
"Kustoff, David",https://twitter.com/RepDavidKustoff,R,RepDavidKustoff
"LaHood, Darin",https://twitter.com/RepLaHood,R,RepLaHood
"LaMalfa, Doug",https://twitter.com/RepLaMalfa,R,RepLaMalfa
"Lamborn, Doug",https://twitter.com/RepDLamborn,R,RepDLamborn
"Latta, Robert E.",https://twitter.com/boblatta,R,boblatta
"LaTurner, Jake",https://twitter.com/RepLaTurner,R,RepLaTurner
"Lesko, Debbie",https://twitter.com/RepDLesko,R,RepDLesko
"Letlow, Julia",https://twitter.com/RepJuliaLetlow,R,RepJuliaLetlow
"Long, Billy",https://twitter.com/USRepLong,R,USRepLong
"Loudermilk, Barry",https://twitter.com/RepLoudermilk,R,RepLoudermilk
"Lucas, Frank",https://twitter.com/RepFrankLucas,R,RepFrankLucas
"Luetkemeyer, Blaine",https://twitter.com/RepBlaine,R,RepBlaine
"Mace, Nancy",https://twitter.com/RepNancyMace,R,RepNancyMace
"Malliotakis, Nicole",https://twitter.com/RepMalliotakis,R,RepMalliotakis
"Mann, Tracey",https://twitter.com/RepMann,R,RepMann
"Massie, Thomas",https://twitter.com/RepThomasMassie,R,RepThomasMassie
"Mast, Brian",https://twitter.com/RepBrianMast,R,RepBrianMast
"McCarthy, Kevin",https://twitter.com/GOPLeader,R,GOPLeader
"McCaul, Michael T.",https://twitter.com/RepMcCaul,R,RepMcCaul
"McClain, Lisa C.",https://twitter.com/RepLisaMcClain,R,RepLisaMcClain
"McClintock, Tom",https://twitter.com/RepMcClintock,R,RepMcClintock
"McHenry, Patrick T.",https://twitter.com/PatrickMcHenry,R,PatrickMcHenry
"McKinley, David",https://twitter.com/RepMcKinley,R,RepMcKinley
"Meijer, Peter",https://twitter.com/RepMeijer,R,RepMeijer
"Meuser, Daniel",https://twitter.com/RepMeuser,R,RepMeuser
"Miller-Meeks, Mariannette",https://twitter.com/RepMMM,R,RepMMM
"Miller, Carol",https://twitter.com/RepCarolMiller,R,RepCarolMiller
"Miller, Mary E.",https://twitter.com/RepMaryMiller,R,RepMaryMiller
"Moolenaar, John",https://twitter.com/RepMoolenaar,R,RepMoolenaar
"Mooney, Alex",https://twitter.com/RepAlexMooney,R,RepAlexMooney
"Moore, Barry",https://twitter.com/RepBarryMoore,R,RepBarryMoore
"Moore, Blake D.",https://twitter.com/RepBlakeMoore,R,RepBlakeMoore
"Mullin, Markwayne",https://twitter.com/RepMullin,R,RepMullin
"Murphy, Gregory Francis",https://twitter.com/RepGregMurphy,R,RepGregMurphy
"Nehls, Troy E.",https://twitter.com/RepTroyNehls,R,RepTroyNehls
"Newhouse, Dan",https://twitter.com/RepNewhouse,R,RepNewhouse
"Norman, Ralph",https://twitter.com/RepRalphNorman,R,RepRalphNorman
"Nunes, Devin",https://twitter.com/RepDevinNunes,R,RepDevinNunes
"Obernolte, Jay",https://twitter.com/JayObernolte,R,JayObernolte
"Owens, Burgess",https://twitter.com/RepBurgessOwens,R,RepBurgessOwens
"Palazzo, Steven",https://twitter.com/CongPalazzo,R,CongPalazzo
"Palmer, Gary",https://twitter.com/USRepGaryPalmer,R,USRepGaryPalmer
"Pence, Greg",https://twitter.com/RepGregPence,R,RepGregPence
"Perry, Scott",https://twitter.com/RepScottPerry,R,RepScottPerry
"Pfluger, August",https://twitter.com/RepPfluger,R,RepPfluger
"Posey, Bill",https://twitter.com/congbillposey,R,congbillposey
"Radewagen, Amata",https://twitter.com/RepAmata,R,RepAmata
"Reed, Tom",https://twitter.com/RepTomReed,R,RepTomReed
